model,system,window,metric,stratum,n_devices,n_scenes,n_groups,group_macro,median,p90
A6_PRE_EVENT,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.020260115902483024,0.008608575191940759,0.024961717200291018
A6_PRE_EVENT,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.018209795630455966,0.005940668283725159,0.02497622968908971
A6_PRE_EVENT,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.006296685396999401,0.003184021666861347,0.008256786194820336
A6_PRE_EVENT,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.005428957374648056,0.0014817639108080718,0.00788028467018448
A6_PRE_EVENT,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.006857551891203477,0.002736690695470644,0.009026257338072143
A6_PRE_EVENT,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.008105632505587112,0.001155868819138517,0.0037434402849507906
A6_PRE_EVENT,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.09610441281100655,0.034146527401934676,0.13537963018114438
A6_PRE_EVENT,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.07480585197530483,0.009613811700561588,0.104307586517743
A6_PRE_EVENT,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,2982,364,230,0.06190389899942894,0.03872216050389353,0.12085275112794551
A6_PRE_EVENT,IEEE39,0_2,differential_rmse,BELOW_HIGH,2982,364,230,0.0447647549806228,0.022241720266313575,0.06397784687884449
A6_PRE_EVENT,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,2781,315,181,0.10845452921045562,0.03584004749877729,0.13298651484943086
A6_PRE_EVENT,IEEE39,2_10,differential_rmse,BELOW_HIGH,2781,315,181,0.06648380644563276,0.005193902001687626,0.08821403806552491
A6_PRE_EVENT,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,2781,315,181,0.11968618138785989,0.02935501250252066,0.1522656320605666
A6_PRE_EVENT,IEEE39,10_30,differential_rmse,BELOW_HIGH,2781,315,181,0.07559792726584946,0.004678687442467589,0.09675963832557836
E1_GRAPHICAL_DEEPONET,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.01697321594252382,0.01323734705759435,0.022786214598891064
E1_GRAPHICAL_DEEPONET,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.01330055553368648,0.008455653740050504,0.017075903143764563
E1_GRAPHICAL_DEEPONET,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.02214348518429224,0.01767731491620917,0.03606688542286473
E1_GRAPHICAL_DEEPONET,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.017099701217560836,0.013995570415232314,0.029440846008651586
E1_GRAPHICAL_DEEPONET,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.014718013892326196,0.010168260049855653,0.020530762315449046
E1_GRAPHICAL_DEEPONET,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.010632725860553804,0.006839433186325021,0.01737856645643384
E1_GRAPHICAL_DEEPONET,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.01616008278559277,0.011929397437674105,0.024323424336636836
E1_GRAPHICAL_DEEPONET,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.01281106457971516,0.006958574815264059,0.016531208512740012
E1_GRAPHICAL_DEEPONET,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.05492645756218072,0.02119997602468445,0.0846911775393759
E1_GRAPHICAL_DEEPONET,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.02550226380459418,0.013495096922289392,0.03413597651226255
E1_GRAPHICAL_DEEPONET,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,2982,364,230,0.05351966751562006,0.03519696616613535,0.11339954906905186
E1_GRAPHICAL_DEEPONET,IEEE39,0_2,differential_rmse,BELOW_HIGH,2982,364,230,0.032078136959006194,0.02674016824725245,0.0604101881298527
E1_GRAPHICAL_DEEPONET,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,2781,315,181,0.0627183939460307,0.016653486478628732,0.09085440160035259
E1_GRAPHICAL_DEEPONET,IEEE39,2_10,differential_rmse,BELOW_HIGH,2781,315,181,0.02183712128453167,0.009538033872401165,0.028528906422391177
E1_GRAPHICAL_DEEPONET,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,2781,315,181,0.060376216485288015,0.016257479621790107,0.08267718392933408
E1_GRAPHICAL_DEEPONET,IEEE39,10_30,differential_rmse,BELOW_HIGH,2781,315,181,0.016119252251157713,0.008121524472168141,0.024216450122721507
E2_GAT_H128,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.017182055655544034,0.008214774042067953,0.012700308200376018
E2_GAT_H128,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.029076937271440225,0.0021661675394714325,0.009055516496307607
E2_GAT_H128,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.023873385466438485,0.016239506049771032,0.02690528618590574
E2_GAT_H128,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.021112485023391844,0.005438391724112673,0.023804691354288775
E2_GAT_H128,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.00797968487855322,0.007205561422052545,0.01147612071790881
E2_GAT_H128,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.007026211872650084,0.001612835127525468,0.008074720533968975
E2_GAT_H128,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.013418249930919767,0.006308951404608583,0.011488615962223251
E2_GAT_H128,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.025300208738123338,0.001334239841279398,0.004800277904814326
