model,reference,dataset,population,system,scope,scope_value,window,metric,n_paired_records,model_records,reference_records,n_paired_scenes,n_groups,group_mean_difference,group_median_difference,group_win_rate,ci95_low,ci95_high
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,2_10,trajectory_rmse,617,617,617,333,218,-0.0063998780348124285,-0.007370893057939722,0.6788990825688074,-0.008142583871689505,-0.004580536524068173
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,2_10,differential_rmse,617,617,617,333,218,-0.0028578043942479405,0.0004201266759942666,0.45871559633027525,-0.004437222351713872,-0.0011752030795360133
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,2_10,nadir_error,617,617,617,333,218,-0.022150687369533514,-0.012359177693724632,0.8899082568807339,-0.026252826981484016,-0.018160711915978
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,2_10,max_abs_rocof_error,617,617,617,333,218,-0.005505034270617608,-0.009019369479114515,0.6238532110091743,-0.007152080136596169,-0.0038750107306997975
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,pair,SG_GFM,2_10,pair_rmse,333,333,333,333,218,-0.0040085349758145995,0.0002252382190844724,0.47706422018348627,-0.005833747205948997,-0.002092077896914324
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,pair,ALL,2_10,pair_rmse,500,500,500,500,365,-0.0013669200636439536,0.0007661875317850203,0.3315068493150685,-0.001989408155493071,-0.000765269536371527
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,2_10,spread_mae,500,500,500,500,365,-0.0017066811268901098,0.00036663308994474447,0.4876712328767123,-0.00281082537332581,-0.000661729024921173
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,2_10,spread_mae,109,109,109,109,78,0.0019114534321324668,0.0015731139900427506,0.32051282051282054,0.0007082915972434746,0.003644173253594247
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,2_10,spread_mae,457,457,457,457,324,-0.001502775904339347,0.0015836163205002747,0.42592592592592593,-0.002698481266061656,-0.00034905857418089756
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,10_30,trajectory_rmse,4780,4780,4780,500,365,0.0023804457026065508,-0.0007385034245210729,0.5698630136986301,0.0008058517835783626,0.004086736021447452
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,10_30,differential_rmse,4780,4780,4780,500,365,-0.0008153180718186366,-0.00013225088934923452,0.5589041095890411,-0.0011800690455587605,-0.0003998826484239984
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,10_30,nadir_error,4780,4780,4780,500,365,0.0059794115892830724,0.003283386863768101,0.4136986301369863,0.00425925837527539,0.007792581272509618
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,10_30,max_abs_rocof_error,4780,4780,4780,500,365,0.004499011772890212,0.006133172247144911,0.1863013698630137,0.0038847757213877005,0.005109428660480877
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,10_30,trajectory_rmse,1090,1090,1090,109,78,0.017621017860854675,0.0007704362773242879,0.3974358974358974,0.011792929864461335,0.023753163444844315
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,10_30,differential_rmse,1090,1090,1090,109,78,0.000693785822894282,0.0005885425238325507,0.16666666666666666,0.00043329028604451183,0.0010690774198889028
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,10_30,nadir_error,1090,1090,1090,109,78,0.020811174982768514,0.00325497779995203,0.2692307692307692,0.014667242567014387,0.0272331362571216
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,10_30,max_abs_rocof_error,1090,1090,1090,109,78,0.003706155141312224,0.0031379641965031623,0.0641025641025641,0.0030328529306003467,0.004368811207895402
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,10_30,trajectory_rmse,4350,4350,4350,457,324,0.002747162344226639,-0.00040953828372891247,0.5339506172839507,0.0009599194626192598,0.004722406693258836
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,10_30,differential_rmse,4350,4350,4350,457,324,-0.0009376026150225659,-0.00018605159968856634,0.6080246913580247,-0.0013658676119826134,-0.00045289288168236393
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,10_30,nadir_error,4350,4350,4350,457,324,0.007277771825914333,0.0041400036878056,0.3395061728395062,0.005346662974949634,0.009327205373997933
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,10_30,max_abs_rocof_error,4350,4350,4350,457,324,0.005861970155364744,0.006888005468580458,0.08641975308641975,0.005333742187912484,0.006374164774609726
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,10_30,trajectory_rmse,3706,3706,3706,500,365,0.0024349710666678554,-0.000856506086972679,0.5808219178082191,0.0008496522559186013,0.004166011443673282
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,10_30,differential_rmse,3706,3706,3706,500,365,-0.0009857884942065178,-0.00022379539462297985,0.5452054794520548,-0.0013348204743821835,-0.0006341075297173215
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,10_30,nadir_error,3706,3706,3706,500,365,0.006904476952604973,0.0034159421920776367,0.410958904109589,0.005173797717843428,0.008738502516044399
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,10_30,max_abs_rocof_error,3706,3706,3706,500,365,0.004744460750113711,0.0062179820878165105,0.16712328767123288,0.004067484091251011,0.005412185495359344
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,10_30,trajectory_rmse,617,617,617,333,218,-0.0038783832083319363,-0.003717349385122594,0.7706422018348624,-0.005999595295120635,-0.000519614748493557
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,10_30,differential_rmse,617,617,617,333,218,6.323817732012341e-05,-0.0010561998476265127,0.6238532110091743,-0.0015226971188408342,0.0029514879975594648
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,10_30,nadir_error,617,617,617,333,218,-0.008594953021671379,-0.004708767402917147,0.5871559633027523,-0.01147483363815358,-0.005354053378208305
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,10_30,max_abs_rocof_error,617,617,617,333,218,0.003977911664780185,0.003238474018871784,0.22018348623853212,0.002930151445916388,0.005486640511502642
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,pair,SG_GFM,10_30,pair_rmse,333,333,333,333,218,-0.0008886459136314594,-0.0011962291504331304,0.6743119266055045,-0.0028570307643454983,0.0024144313451759094
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,pair,ALL,10_30,pair_rmse,500,500,500,500,365,-0.001286787712594341,-0.000254334584112198,0.6465753424657534,-0.001993805626782105,-0.0003714537336908237
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,10_30,spread_mae,500,500,500,500,365,-0.0020398031600022187,-0.0003558339551091184,0.5616438356164384,-0.0034698124916675557,-4.297299290678768e-05
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,10_30,spread_mae,109,109,109,109,78,0.0020766588100608746,0.00047710277140140464,0.3974358974358974,0.0006685774185387297,0.004244269047398655
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,10_30,spread_mae,457,457,457,457,324,-0.002313219839132867,-0.0003658081870526065,0.5648148148148148,-0.0039380026299906685,3.836287356938736e-05
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,fault,full,trajectory_rmse,1180,1180,1180,118,114,0.0012215571523779478,0.0005017010804205054,0.43859649122807015,0.00036251901847990966,0.0021082518133671573
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,fault,full,differential_rmse,1180,1180,1180,118,114,7.650157825876987e-05,-0.00011524347178703681,0.631578947368421,-0.00046513131890822814,0.0008396301557905442
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,fault,full,nadir_error,1180,1180,1180,118,114,-0.012193827775486728,-0.007371136918663979,0.8421052631578947,-0.014455015682819577,-0.009946736628067141
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,fault,full,max_abs_rocof_error,1180,1180,1180,118,114,-0.053545756344394006,-0.051458832784119043,0.9385964912280702,-0.05876462352060946,-0.04768210554582471
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,HIGH,HIGH,full,trajectory_rmse,744,744,744,185,156,0.0018490509090982926,0.0010119151315857817,0.36538461538461536,0.0006213059612608004,0.003590536623690345
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,HIGH,HIGH,full,differential_rmse,744,744,744,185,156,0.0011441068320368598,0.00028592921634913433,0.20512820512820512,0.000210302093539728,0.002626944830684088
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,HIGH,HIGH,full,nadir_error,744,744,744,185,156,-0.014151281613512773,-0.010747010509173077,0.9423076923076923,-0.016129681249964205,-0.012244087468602215
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,HIGH,HIGH,full,max_abs_rocof_error,744,744,744,185,156,-0.041455925020642485,-0.04929744975541822,0.8205128205128205,-0.05134486105227113,-0.03350381548656312
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,fault,full,spread_mae,118,118,118,118,114,0.0016204063382838584,0.0009196700114974515,0.34210526315789475,-0.0011332270646718294,0.006050977493845331
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,fault,0_2,trajectory_rmse,1180,1180,1180,118,114,0.002757286354996807,0.0041313041122471895,0.23684210526315788,0.0014987024585081197,0.0038716238908250017
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,fault,0_2,differential_rmse,1180,1180,1180,118,114,0.0008114024760137585,-0.0007463014931864173,0.5350877192982456,-0.000330268148613075,0.0017836182669673734
